id,age,gender,country,hours_sleep,exercise_days,screen_time,stress_level,happiness_level,income_bracket
1,56,male,peru,7.4,0,6.6,3,5,low
2,46,female,chile,7.1,3,7.7,4,8,high
3,32,male,colombia,8.1,6,2.8,5,3,high
4,60,non-binary,peru,7.1,3,10.3,6,6,medium
5,25,male,mexico,6.8,3,6.5,1,4,low
6,38,male,peru,6.1,0,10.1,4,7,low
7,56,male,argentina,8.3,0,4.2,10,10,low
8,36,male,colombia,5.6,4,10.5,5,3,medium
9,40,non-binary,mexico,5.3,1,7.9,7,6,medium
10,28,non-binary,chile,7.9,1,7.4,5,10,medium
11,28,female,spain,5.0,4,6.6,1,9,low
12,41,non-binary,mexico,10.6,4,5.4,7,10,low
13,53,non-binary,chile,7.1,5,9.0,8,1,low
14,57,female,spain,7.5,6,6.4,7,3,medium
15,41,non-binary,spain,5.8,3,1.1,4,2,medium
16,20,male,mexico,6.5,4,3.2,8,8,high
17,39,male,peru,6.4,2,5.5,5,7,medium
18,19,female,peru,6.2,1,6.8,10,2,high
19,41,female,spain,7.9,4,5.9,9,6,low
20,61,female,peru,6.3,2,9.0,10,3,medium
21,47,male,argentina,8.5,2,1.1,5,8,low
22,55,non-binary,spain,11.0,2,6.4,1,10,low
23,19,male,spain,6.6,5,1.5,9,3,low
24,38,female,chile,7.2,5,7.9,5,10,low
25,50,non-binary,peru,7.6,2,5.8,6,9,medium
26,29,non-binary,spain,9.7,6,7.0,4,1,low
27,39,male,argentina,6.9,5,3.8,6,5,high
28,61,female,chile,5.8,3,9.2,8,3,medium
29,42,male,mexico,5.1,2,8.6,3,6,low
30,44,non-binary,spain,6.9,3,7.5,5,10,medium
31,59,male,argentina,6.3,3,5.7,2,2,high
32,45,male,colombia,10.0,2,7.4,2,9,low
33,33,female,argentina,9.7,1,4.2,7,6,high
34,32,female,argentina,5.4,6,8.1,10,7,low
35,64,non-binary,chile,5.9,2,10.1,10,5,high
36,61,male,mexico,7.1,2,8.7,10,9,low
37,20,male,colombia,9.1,5,4.2,6,1,medium
38,54,male,peru,7.1,2,6.9,4,5,low
39,24,non-binary,peru,6.0,1,2.8,5,10,medium
40,38,non-binary,argentina,6.9,5,7.4,1,6,low
41,26,female,chile,6.1,0,7.1,7,7,low
42,56,female,chile,7.9,0,1.3,8,4,high
43,35,female,peru,5.9,3,3.1,9,1,high
44,21,male,colombia,6.2,6,5.3,8,8,high
45,42,male,mexico,8.7,3,5.2,5,10,low
46,31,female,colombia,5.8,1,3.0,3,4,low
47,26,male,spain,4.8,4,7.0,10,3,low
48,43,female,spain,7.1,6,6.6,9,7,medium
49,19,non-binary,mexico,6.5,0,5.5,6,2,medium
50,37,female,peru,7.8,3,4.1,5,8,low
51,45,non-binary,mexico,7.5,0,8.6,3,6,high
52,64,male,chile,7.0,1,10.1,6,7,high
53,24,female,spain,6.9,1,4.8,3,5,high
54,61,male,argentina,5.9,4,4.5,10,9,low
55,25,non-binary,argentina,7.1,4,7.2,6,5,high
56,64,non-binary,peru,8.3,5,5.1,4,5,low
57,52,non-binary,chile,5.5,6,5.7,2,3,medium
58,31,male,colombia,7.0,1,7.8,8,1,high
59,34,male,chile,8.6,3,1.2,4,2,medium
60,53,male,argentina,7.8,0,9.3,9,8,high
61,57,male,argentina,9.0,2,6.2,7,1,low
62,21,non-binary,spain,6.1,4,5.0,2,7,low
63,19,non-binary,chile,4.3,2,5.8,4,5,low
64,23,female,chile,7.3,3,5.9,5,3,low
65,59,female,argentina,7.5,4,1.7,3,7,high
66,21,male,colombia,9.1,2,9.7,9,9,medium
67,46,non-binary,peru,8.8,6,6.1,5,2,low
68,35,non-binary,peru,7.8,3,7.1,2,8,high
69,43,non-binary,chile,8.1,0,8.4,3,9,medium
70,61,female,peru,6.7,6,3.4,9,3,low
71,51,female,argentina,5.2,3,7.2,7,2,medium
72,27,non-binary,argentina,7.2,5,5.3,2,7,low
73,53,non-binary,chile,8.5,4,8.1,9,5,medium
74,31,non-binary,chile,8.0,1,0.7,4,5,medium
75,48,female,spain,8.3,0,5.8,9,10,low
76,32,non-binary,chile,6.4,6,4.5,2,5,high
77,25,non-binary,colombia,6.6,6,7.1,10,4,medium
78,31,male,peru,7.7,2,7.2,4,5,low
79,40,male,chile,6.2,4,4.2,5,4,medium
80,57,female,mexico,6.2,1,4.2,2,6,medium
81,38,non-binary,spain,7.4,3,5.7,10,4,high
82,33,non-binary,mexico,8.1,1,3.8,1,2,medium
83,62,male,argentina,6.7,4,8.1,7,9,medium
84,35,female,peru,5.3,4,5.1,10,2,low
86,41,male,mexico,7.3,5,5.1,8,10,high
87,43,male,peru,7.3,1,3.4,3,6,medium
88,42,male,argentina,7.4,3,1.9,10,9,medium
89,62,non-binary,colombia,7.8,1,2.9,6,9,medium
90,58,non-binary,spain,7.0,4,6.3,7,3,high
91,46,male,peru,7.4,4,9.3,10,1,medium
92,32,female,peru,6.9,2,6.8,1,1,low
93,62,female,colombia,8.7,5,4.5,6,3,high
94,18,female,peru,9.1,2,7.1,7,5,low
95,42,female,argentina,5.2,0,4.9,6,3,low
96,24,male,argentina,6.6,4,4.3,4,9,high
97,26,non-binary,colombia,7.0,2,3.1,1,9,low
98,41,female,spain,6.6,1,1.6,9,3,medium
99,18,male,chile,9.7,5,5.0,4,3,high
100,61,female,mexico,7.3,5,6.4,7,5,low
101,25,female,chile,5.8,3,5.8,7,2,medium
102,41,male,peru,7.9,1,5.0,2,6,medium
103,28,non-binary,mexico,7.4,3,3.6,1,7,low
104,34,non-binary,colombia,7.5,2,7.5,8,9,medium
105,25,male,colombia,9.7,6,2.7,8,6,high
106,52,non-binary,spain,7.5,0,7.9,7,3,low
107,52,male,mexico,6.5,1,3.5,8,5,medium
108,50,male,argentina,4.1,1,4.1,3,4,medium
109,22,male,mexico,6.8,1,2.3,2,5,low
110,59,non-binary,peru,9.0,3,4.7,7,8,low
111,56,male,argentina,6.9,2,8.4,8,8,low
112,58,female,colombia,3.6,1,7.3,1,6,low
113,45,non-binary,mexico,6.3,6,8.4,10,1,high
114,24,non-binary,chile,8.5,1,7.3,9,8,low
115,26,non-binary,spain,7.8,5,3.2,4,8,high
116,25,non-binary,chile,5.7,0,5.2,4,2,high
117,29,female,spain,6.2,5,4.0,3,4,low
118,51,non-binary,peru,6.4,5,9.3,6,2,high
119,50,non-binary,chile,6.0,0,3.0,1,4,low
120,40,male,mexico,4.0,6,8.2,6,10,low
121,41,non-binary,mexico,8.1,2,8.2,2,7,medium
122,54,female,chile,8.9,5,10.6,9,9,low
123,52,female,mexico,4.7,2,5.0,2,8,medium
124,61,female,peru,8.9,5,7.8,7,9,high
125,57,female,argentina,6.8,4,11.7,1,8,medium
126,39,non-binary,peru,8.8,0,4.5,7,2,high
127,44,non-binary,spain,7.1,5,2.2,5,7,low
128,52,female,peru,7.2,4,1.3,8,2,high
129,18,female,spain,7.6,3,7.8,4,2,high
130,52,non-binary,mexico,5.8,4,1.3,10,4,low
131,54,female,argentina,8.8,1,5.1,7,1,high
132,64,male,mexico,5.3,5,7.1,6,5,low
133,31,female,colombia,6.4,4,6.5,5,6,medium
134,20,female,mexico,7.8,2,7.1,4,9,low
135,18,male,spain,6.2,3,6.6,7,10,low
136,22,male,mexico,8.2,6,9.2,5,8,high
137,43,non-binary,mexico,9.1,5,3.6,5,2,medium
138,31,non-binary,argentina,8.5,1,4.3,1,1,low
139,56,male,mexico,4.1,6,4.1,2,2,medium
140,44,male,argentina,7.2,4,8.1,5,7,medium
